ID	STRUCTURE	FREQUENCY	Arhuaco	Bari	Boruca	Bribri	Buglere	Cabecar	Cacaopera	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	LencaHonduras	LencaSalvador	Malayo	MalekuJaika	Mayangna	Miskito	Ngabere	Pech	Rama	SanBlasKuna	Teribe	Ulwa	COGNATESETS	CONCEPTS
161-1	V	1	ə	a	a	a	-	-	Ø	a	ɨ	a	a	a	Ø	Ø	ə	o	Ø	Ø	a	Ø	a	a	a	Ø	145:1	mouth
182-1	V	1	ə	ãː	a	-	i	-	Ø	-	e	aː	-	a	Ø	Ø	ɨ	-	Ø	Ø	i	Ø	aː	Ø	ɔ	Ø	770:2	tree
220-1	V	1	ə	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	ɔ	Ø	Ø	Ø	Ø	Ø	1235:1	child
227-1	V	1	ə	Ø	o	õ	o	õ	a	o	a	o	a	o	Ø	Ø	o	i	u	Ø	ɯ	Ø	Ø	o	o	u	1298:1	cloud
152-7	V	7	ë	Ø	a	Ø	a	Ø	a	a	ɨ	-	a	Ø	o	o	a	Ø	a	i	ɔ̃	aː	aː	a	Ø	a	70:3, 99:5, 123:1, 345:3, 434:3, 551:1, 639:1	eat (v.) / feather / leg / mouth / stomach / walk (v.) / you (plural)
121-5	V	5	Ø	Ø	a	ã	Ø	ã	Ø	Ø	a	Ø	Ø	Ø	a	i	-	Ø	a	-	Ø	ãː	Ø	Ø	Ø	a	115:4, 267:1, 435:1, 668:1, 1169:1	bite (v.) / cut (v.) / few / stomach / sun
134-5	V	5	Ø	i	i	e	Ø	e	a	i	i	i	i	Ø	a	a	Ø	-	aː	Ø	Ø	aː	i	i	-	aː	220:0, 562:1, 778:1, 801:1, 996:0	blood / he / path / smoke (substance) / this
149-4	V	4	Ø	Ø	Ø	ĩ	-	ẽ	Ø	u	ɨ	Ø	Ø	i	Ø	Ø	Ø	iː	Ø	Ø	ẽ	Ø	-	u	Ø	Ø	143:2, 219:3, 801:3, 941:3	laugh (v.) / liver / salt / this
92-3	V	3	Ø	a	Ø	u	-	ũ	Ø	a	ɨ	-	-	Ø	Ø	Ø	u	oː	Ø	Ø	-	Ø	Ø	a	Ø	Ø	99:0, 115:0, 978:1	bone / feather / few
13-2	V	2	Ø	-	e	ẽ	-	-	u	e	Ø	aː	Ø	a	Ø	a	-	i	a	Ø	i	ã	a	Ø	e	aː	813:1, 825:1	cold (temperature) / sand
14-2	V	2	Ø	i	e	ɪ	Ø	i	a	e	a	aː	Ø	e	e	e	Ø	a	a	Ø	e	ã	a	Ø	e	a	1091:2, 1202:1	mother / nose
54-2	V	2	Ø	Ø	i	ẽ	e	ẽ	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ĩ	Ø	Ø	i	ɪ	Ø	202:2, 734:1	give (v.) / know something (v.)
170-1	V	1	Ø	Ø	Ø	ẽ	Ø	ẽ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	-	Ø	Ø	a	Ø	630:3	tail
174-1	V	1	Ø	Ø	a	ʊ	a	ʊ	Ø	Ø	-	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	a	Ø	-	-	a	Ø	692:2	bark (of tree)
190-1	V	1	Ø	eː	a	ẽ	e	ẽ	Ø	a	Ø	aː	Ø	a	Ø	a	e	a	i	Ø	o	a	a	Ø	e	Ø	825:3	cold (temperature)
193-1	V	1	Ø	Ø	Ø	-	Ø	ɪ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	e	Ø	Ø	900:2	talk (v.)
200-1	V	1	Ø	Ø	u	Ø	Ø	-	Ø	Ø	-	u	Ø	Ø	Ø	Ø	o	Ø	Ø	Ø	Ø	u	Ø	Ø	Ø	Ø	1050:0	tongue
205-1	V	1	Ø	o	Ø	Ø	Ø	Ø	Ø	o	o	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1082:1	cry (v.)
