ID	STRUCTURE	FREQUENCY	Apuri	Apurimac	Atalla	Ayacucho	Azuay	Chachapoyas	Chetilla	Huallaga	Huangascar	HuarazHuailas	Imbabura	Inkawasi	Jauja	Maragua	Napo	Pacaraos	Puno	Santiagueno	Yanac	COGNATESETS	CONCEPTS
3-59	V	59	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	57:1, 104:3, 147:1, 153:1, 295:3, 527:1, 543:1, 543:3, 548:3, 632:3, 750:1, 761:1, 764:3, 774:0, 794:0, 822:4, 48:1, 48:4, 640:1, 162:1, 721:1, 721:4, 717:0, 717:3, 852:1, 852:3, 755:1, 755:3, 456:1, 456:4, 34:3, 65:1, 83:1, 135:1, 166:1, 170:1, 180:1, 202:3, 260:3, 276:1, 282:1, 362:1, 435:0, 470:1, 479:3, 496:5, 498:3, 521:1, 608:1, 616:3, 635:1, 647:4, 685:4, 691:1, 791:6, 810:1, 837:1, 871:2, 872:3	belly (stomach) / bird / branch / cold / ear / eat, to / elbow / eye / face / fat (grease) / fingernail / fire / five / flower / fly, to / foot / forehead / gold / green / hand / hear, to / high up / leaf / left (hand side) / lip / man SW adult, male / moon / mountain / mouth / name / old (man) / river / road / root / salt / sand / see, to / seven / sew, to / smoke / speak, to / sun / sweet / three / tire / tooth / two / we (inclusive) / what? / wing / woman / young (female)
82-3	V	3	i	i	i	i	i	i	i	e	i	i	i	i	i	i	i	i	i	iː	Ø	251:1, 281:4, 668:1	go, to / green / sit, to
113-3	V	3	i	i	i	i	a	i	i	i	i	i	a	i	i	i	a	i	i	iː	i	373:3, 416:2, 777:3	bite, to / laugh, to / walk, to
121-2	V	2	i	a	a	a	a	a	a	a	a	a	a	a	a	Ø	a	a	Ø	u	a	424:4, 441:1	leaf / leg / wing
136-2	V	2	i	-	i	-	i	ui	e	Ø	i	Ø	i	Ø	Ø	-	i	e	-	u	eː	506:2, 705:3	small / star
188-2	V	2	i	i	i	i	u	u	u	u	i	Ø	u	u	u	i	u	u	i	Ø	Ø	696:1, 783:3	breast / suck, to / warm / hot SW
189-2	V	2	i	Ø	Ø	Ø	a	u	u	u	i	u	u	-	u	Ø	u	u	Ø	Ø	u	696:3, 848:3	breast / cloud / suck, to
41-1	V	1	i	i	i	i	a	i	i	i	i	i	a	i	i	i	a	i	i	i	i	40:3	dry
97-1	V	1	i	a	i	i	u	i	i	i	i	i	a	i	a	i	i	u	i	i	i	303:3	happy (be)
176-1	V	1	i	i	i	i	i	i	i	Ø	i	Ø	i	i	Ø	i	i	Ø	i	e	Ø	652:1	sew, to
182-1	V	1	i	a	i	i	i	i	i	i	i	i	Ø	Ø	i	Ø	i	i	a	a	i	660:3	sister (man's)
200-1	V	1	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	ai	i	i	i	709:3	stone
206-1	V	1	i	e	i	e	i	i	Ø	i	i	i	i	Ø	i	Ø	i	e	Ø	ɪ	i	740:3	brother (man's)
215-1	V	1	i	ai	i	i	i	i	i	i	i	i	Ø	Ø	i	Ø	i	i	a	a	i	781:3	brother (man's) / brother (woman's)
224-1	V	1	i	i	i	i	i	i	i	i	i	i	i	i	i	i	Ø	iː	i	i	i	801:1	who?
26-4	V	4	e	Ø	Ø	Ø	i	i	i	e	e	e	i	i	i	Ø	i	e	e	Ø	e	602:1, 602:3, 197:1, 281:1	grass / green / right (hand side)
30-2	V	2	e	Ø	i	e	a	i	i	i	e	i	i	i	i	Ø	a	e	Ø	Ø	i	3:1, 601:2	be sick / right (hand side)
91-2	V	2	e	i	i	i	i	i	i	i	e	i	i	Ø	i	i	i	i	i	e	i	279:3, 567:0	green / nine
72-1	V	1	e	Ø	Ø	Ø	Ø	Ø	i	i	e	e	Ø	i	Ø	Ø	Ø	e	Ø	Ø	Ø	213:1	tree
157-1	V	1	e	e	i	e	i	i	i	i	e	e	i	i	i	i	i	i	i	e	i	571:1	nose
131-2	V	2	au	au	au	au	au	au	au	au	au	au	au	au	au	au	au	au	au	au	oː	482:1, 740:1	brother (man's) / live, to
239-1	V	1	au	au	au	au	a	au	au	Ø	au	Ø	a	Ø	-	ai	a	Ø	ai	au	Ø	875:4	day
17-10	V	10	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai	eː	522:0, 774:3, 172:1, 718:3, 724:1, 746:1, 754:1, 806:1, 843:1, 848:5	cloud / flower / meat SW flesh / sun / swim, to / this / tire / two / wind / young (male)
99-3	V	3	ai	u	a	a	u	a	a	a	ai	a	u	a	a	Ø	u	a	ai	a	Ø	308:3, 359:3, 362:3	high up / seed
54-1	V	1	ai	Ø	Ø	Ø	Ø	Ø	Ø	a	ai	ai	Ø	Ø	ai	Ø	Ø	Ø	Ø	Ø	eː	101:0	go, to
230-1	V	1	ai	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ai	ai	Ø	Ø	a	Ø	Ø	ai	Ø	Ø	a	853:4	cold
1-168	V	168	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	2:3, 12:1, 19:0, 40:1, 104:1, 153:3, 189:1, 295:1, 309:2, 339:1, 339:3, 348:1, 389:3, 409:1, 409:3, 416:0, 467:1, 467:3, 522:2, 527:3, 554:4, 571:4, 574:1, 574:3, 624:4, 632:1, 655:1, 658:1, 658:4, 729:3, 748:1, 750:4, 759:1, 764:1, 794:2, 798:3, 822:1, 869:1, 75:3, 162:4, 490:2, 673:4, 733:4, 830:1, 830:3, 677:1, 677:3, 860:1, 597:3, 665:1, 665:3, 515:0, 515:3, 380:1, 380:4, 482:3, 559:3, 593:1, 593:4, 615:1, 615:3, 287:0, 287:3, 594:1, 594:4, 256:1, 256:3, 371:1, 371:3, 834:1, 834:4, 862:1, 862:4, 3:4, 85:1, 85:3, 369:1, 369:3, 587:1, 587:3, 692:1, 692:4, 381:1, 425:1, 425:4, 725:1, 725:6, 588:1, 588:4, 621:1, 621:4, 738:1, 738:4, 766:1, 766:3, 36:1, 36:3, 521:3, 102:1, 102:4, 132:1, 132:3, 787:1, 787:4, 113:1, 113:4, 334:0, 334:2, 459:1, 459:6, 206:1, 206:4, 372:1, 372:4, 841:1, 841:4, 4:3, 30:3, 83:4, 94:3, 101:2, 109:3, 114:2, 124:1, 135:3, 166:4, 170:3, 172:3, 180:3, 197:3, 202:1, 212:4, 224:0, 268:3, 282:4, 286:4, 335:1, 359:1, 373:1, 424:1, 441:4, 449:4, 453:4, 470:4, 498:1, 507:3, 535:4, 577:1, 601:0, 602:5, 607:1, 610:1, 636:0, 647:1, 652:3, 660:1, 691:3, 700:3, 724:3, 737:3, 767:3, 791:3, 806:3, 816:1, 837:3, 843:3, 853:0, 872:1	ash / back / be sick / belly (stomach) / big / bite, to / black / branch / bread / brother (man's) / cold / come, to / cry, to / day / die, to / dog / drink, to / dry / eight / empty / eye / face / far (away) / fat (grease) / fire / five / flower / fly, to / foot / forehead / fox / go, to / grass / green / hair / hand / head / heavy / hide, to / high up / hit, to / horn / husband / know, to / laugh, to / leaf / leg / lick, to / light (not heavy) / lip / live, to / louse / man SW adult, male / man SW person / many / meat SW flesh / moon / mountain / mouse / neck / night / nose / not / old (man) / old (woman) / push, to / rain / red / right (hand side) / river / road / root / rope / salt / sand / seven / sew, to / shadow / sister (man's) / sister (woman's) / six / skin / small / speak, to / spit, to / suck, to / swim, to / tail / ten / think (over, about), to / thou (you sg.) / three / tongue / tree / water / we (inclusive) / what? / white / wind / wing / with / woman / year / yellow / young (female) / young (male)
65-4	V	4	a	a	a	a	a	a	a	a	a	a	a	a	a	a	Ø	a	a	aː	a	183:1, 214:1, 537:1, 641:1	blood / fly, to / four / see, to
67-4	V	4	a	a	a	a	a	a	a	a	a	a	a	a	a	a	Ø	a	a	-	a	183:3, 214:3, 537:3, 641:3	blood / fly, to / four / see, to
102-2	V	2	a	Ø	i	i	a	Ø	a	Ø	a	aː	a	a	a	i	a	a	i	iː	a	319:4, 853:2	cold / hear, to
193-2	V	2	a	a	a	a	a	a	a	a	a	aː	a	a	a	a	a	aː	a	a	aː	701:1, 755:5	stand, to / tire
80-1	V	1	a	a	a	a	a	a	a	a	a	ai	a	a	a	a	a	a	a	a	a	233:4	full
109-1	V	1	a	a	a	a	a	a	a	a	a	aː	a	a	a	a	a	a	a	a	a	348:3	hide, to
126-1	V	1	a	a	a	a	a	a	a	a	a	a	Ø	a	a	a	au	a	a	a	a	449:1	lick, to
143-1	V	1	a	Ø	Ø	Ø	Ø	Ø	ai	ai	a	Ø	Ø	ai	ai	Ø	Ø	ai	Ø	Ø	e	514:4	smoke
166-1	V	1	a	a	a	a	a	a	Ø	a	a	i	a	Ø	i	a	Ø	a	a	a	Ø	616:1	root
169-1	V	1	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	i	a	a	624:1	rope
173-1	V	1	a	u	u	u	a	u	a	a	a	a	a	a	a	u	a	a	u	Ø	a	640:3	see, to
183-1	V	1	a	a	a	a	a	a	a	Ø	a	Ø	a	Ø	u	a	a	Ø	a	u	Ø	668:3	sit, to
195-1	V	1	a	a	a	a	a	a	a	a	i	u	a	a	Ø	a	a	Ø	a	a	-	701:3	stand, to
226-1	V	1	a	Ø	Ø	Ø	u	a	a	Ø	a	a	u	a	Ø	a	a	Ø	a	a	Ø	810:4	branch / elbow / wing
233-1	V	1	a	a	a	a	a	a	a	a	a	ai	a	a	ai	a	a	a	a	ai	a	869:3	cry, to
100-2	V	2	-	-	a	a	a	Ø	-	Ø	-	Ø	a	-	-	a	a	-	a	a	Ø	319:2, 459:4	hear, to / light (not heavy)
119-1	V	1	-	Ø	Ø	Ø	i	i	i	-	-	-	i	i	-	Ø	i	-	i	i	i	399:6	knee
14-4	C	4	ʎ	ʎ	ʎ	ʎ	ʎ	dʑ	dʒ	ʎ	ʎ	ʎ	ʎ	ʒ	ʎ	ʎ	ʎ	l	ʎ	ʒ	ʎ	147:2, 581:2, 434:0, 851:2	bone / fingernail / left (hand side) / yellow
57-3	C	3	ʎ	ʎ	ʎ	ʎ	ʎ	dʑ	ʎ	ʎ	ʎ	ʎ	ʎ	ʒ	ʎ	ʎ	ʎ	l	ʎ	ʒ	ʎ	113:3, 499:1, 655:0	face / man SW adult, male / shadow
34-1	C	1	ʎ	ʎ	ʎ	ʎ	ʎ	dʑ	tʃ	ʎ	ʎ	ʎ	ʎ	ʒ	ʎ	l	ʎ	l	l	ʒ	ʎ	19:1	dog
107-1	C	1	ʎ	ʎ	ʎ	ʎ	ʎ	dʑ	ʎ	l	ʎ	l	ʎ	ʒ	ʎ	ʎ	ʎ	l	ʎ	l	l	339:0	heavy
125-1	C	1	ʎ	ʎ	ʎ	ʎ	ʎ	dʑ	ʎ	ʎ	ʎ	l	Ø	ʒ	ʎ	ʎ	ʎ	l	ʎ	ʒ	l	449:0	lick, to
