ID	STRUCTURE	FREQUENCY	Gyeonggi	Hwanghae	Jeju	MKorean	NChungcheong	NGyeongsang	NHamgyong	NJeolla	NPyongan	SChungcheong	SGyeongsang	SHamgyong	SJeolla	SPyongan	COGNATESETS	CONCEPTS
372-1	C	1	Ø	Ø	k	-	k	g	Ø	Ø	Ø	k	g	Ø	Ø	Ø	324:2	in, inside
391-1	C	1	Ø	Ø	j	Ø	Ø	Ø	Ø	p͈	Ø	Ø	g	Ø	-	Ø	352:2	many
393-1	C	1	Ø	Ø	ŋ	Ø	Ø	Ø	Ø	k	Ø	Ø	s	Ø	n	Ø	352:4	many
24-2	C	2	w	w	w	w	w	w	w	w	w	w	-	w	w	w	10:1, 267:1	ear / rat
333-1	C	1	w	w	w	w	w	w	w	w	w	w	w	w	w	w	278:0	and
338-1	C	1	w	Ø	Ø	w	w	-	Ø	w	Ø	w	-	Ø	Ø	Ø	284:1	Fifty
77-2	C	2	t͈	Ø	t͈	Ø	t͈	t͈	Ø	t͈	Ø	t͈	t͈	Ø	t͈	Ø	21:0, 150:0	because / to pound, beat
278-1	C	1	t͈	Ø	t	s	Ø	-	t͈	Ø	t͈	Ø	-	t͈	Ø	t͈	213:0	warm
279-1	C	1	t͈	Ø	t	t	Ø	t͈	t͈	Ø	t͈	Ø	t͈	t͈	Ø	t͈	213:2	warm
355-1	C	1	tʰ	Ø	Ø	tʰ	tʰ	tʰ	Ø	tʰ	t	tʰ	tʰ	Ø	tʰ	t	303:0	hair
114-2	C	2	tɕ͈	Ø	p	tɕ͈	tɕ͈	Ø	tɕ	tɕ͈	t	tɕ͈	Ø	tɕ	tɕ͈	t	16:4, 173:0	right / to stab, pierce
159-1	C	1	tɕ͈	Ø	tɕ͈	Ø	tɕ͈	tɕ	Ø	tɕ͈	Ø	tɕ͈	tɕ	Ø	tɕ	Ø	38:0	short
241-1	C	1	tɕ͈	Ø	tɕʰ	Ø	tɕ͈	tɕ͈	Ø	Ø	Ø	Ø	tɕ͈	Ø	Ø	Ø	172:0	to squeeze
65-4	C	4	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	89:0, 232:0, 251:0, 327:0	cold / dirty / intestines / thunder
261-1	C	1	tɕʰ	Ø	tɕʰ	Ø	tɕʰ	dʑ	Ø	Ø	Ø	Ø	tɕʰ	Ø	tɕʰ	Ø	200:3	to wipe
18-9	C	9	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	80:0, 168:0, 10:0, 78:0, 134:0, 219:0, 221:2, 297:0, 314:0	animal / house / rat / thatch/roof / there / to hold / to sleep / wet / when?
59-2	C	2	tɕ	tɕ	tɕ	tɕ	tɕ	s͈	t	tɕ͈	t	tɕ	tɕ	tɕ	tɕ	t	50:0, 242:0	small / worm (earthworm)
196-1	C	1	tɕ	Ø	tɕ	Ø	tɕ	tɕ	tɕ	tɕ	Ø	tɕ͈	Ø	tɕ	tɕ	Ø	104:0	to cut, hack
199-1	C	1	tɕ	tɕ	tɕ	t	tɕ	Ø	tɕ	tɕ	tɕ	tɕ	Ø	tɕ	tɕ	tɕ	112:0	to fall
227-1	C	1	tɕ	Ø	Ø	s	tɕ	d	ɟ	ɟ	Ø	Ø	t͈	ɟ	d	Ø	154:3	to rub
250-1	C	1	tɕ	Ø	k͈	dʑ	tɕ	tɕ	ɟ	tɕ	-	Ø	Ø	ɟ	tɕ	d	188:3	to throw
334-1	C	1	tɕ	Ø	h	tɕ	tɕ͈	tɕ͈	t͈	tɕ͈	tɕ	tɕ͈	tɕ͈	Ø	tɕ͈	Ø	282:0	few
352-1	C	1	tɕ	Ø	Ø	dʑ	tɕ	tɕ	-	Ø	-	tɕ	tɕ	Ø	Ø	-	299:0	good
361-1	C	1	tɕ	tɕ	tɕʰ	Ø	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	311:0	ash
405-1	C	1	tɕ	Ø	tɕ	tɕ	tɕ͈	tɕ	Ø	tɕ͈	Ø	tɕ͈	tɕ	Ø	tɕ	Ø	363:0	narrow
14-15	C	15	t	t	t	t	t	t	t	t	t	t	t	t	t	t	126:0, 193:0, 24:2, 65:3, 68:0, 118:0, 188:0, 211:0, 235:0, 249:0, 288:0, 306:0, 338:0, 349:0, 379:2	Five / Two / back / dirty / head / leg / old / rope / stick/wood / stone / to fight / to hear / to throw / to turn / with
111-3	C	3	t	Ø	kʰ	t	t	t	tʰ	Ø	Ø	Ø	t	tʰ	t͈	Ø	93:0, 152:0, 308:3	heart / to burn / to pull
22-2	C	2	t	t	t	t	t	t	t	t	t	t	t	t	d	t͈	219:2, 271:2	Eight / wet
52-2	C	2	t	Ø	t	t	tɕ	-	Ø	t	t	t	t	l	t	t	47:4, 247:2	Six / day
93-2	C	2	t	Ø	k	t	tɕʰ	k͈	k	tɕʰ	Ø	n	k͈	k	k͈	Ø	199:2, 220:4	to wash / what?
96-2	C	2	t	Ø	t	t	t͈	t͈	t͈	t͈	t	t͈	t͈	Ø	t͈	t	26:0, 39:0	round / short
97-2	C	2	t	Ø	tʰ	ɾ	t	t	k	tʰ	l	t	t	Ø	t	l	39:2, 55:2	below / short
115-2	C	2	t	d	Ø	-	t	t	Ø	ɟ	d	t	t	Ø	Ø	d	48:5, 198:0	skin / to vomit
135-2	C	2	t	Ø	s	t	tʰ	Ø	Ø	Ø	Ø	tʰ	Ø	Ø	k	Ø	185:2, 265:0	dust / to swell
156-1	C	1	t	Ø	Ø	s	s	m	t	Ø	t	Ø	t	t	t	Ø	33:4	seed
200-1	C	1	t	Ø	Ø	tʰ	t	t	t	Ø	t	Ø	t	t	Ø	t	118:2	to fight
236-1	C	1	t	Ø	k͈	-	t	t	b	m	-	-	t	-	-	-	169:2	to spit
263-1	C	1	t	Ø	k͈	t	Ø	t	Ø	t	Ø	Ø	t͈	Ø	t	Ø	204:3	claw
281-1	C	1	t	Ø	t	t	Ø	-	-	Ø	t	Ø	-	-	Ø	t	213:5	warm
314-1	C	1	t	t	t	-	t	Ø	t	t	t	t	Ø	t	t	t	269:0	egg
321-1	C	1	t	t	n	n	n	n	Ø	n	Ø	n	n	t	n	Ø	272:2	eye
332-1	C	1	t	Ø	t	t	t	t	t	t	tɕʰ	t	t	t	t	t	277:2	feather
341-1	C	1	t	t	ɟ	t	t	t	t	t	t	t	t	t	t	t	289:2	flower
369-1	C	1	t	Ø	Ø	t	tɕ͈	tɕ͈	Ø	tɕ͈	Ø	tɕ͈	tɕ͈	Ø	k͈	Ø	315:1	how?
408-1	C	1	t	t	Ø	s	t	-	t	t	t	t	-	t	t	t	365:2	near
155-1	C	1	s͈	Ø	Ø	-	s͈	s͈	s͈	Ø	s͈	Ø	s͈	s͈	s͈	Ø	33:0	seed
189-1	C	1	s͈	Ø	Ø	s	s͈	s͈	Ø	s͈	Ø	s͈	s͈	Ø	s͈	Ø	96:0	to chew
232-1	C	1	s͈	Ø	Ø	s͈	s͈	s͈	Ø	s͈	Ø	s͈	s͈	Ø	s͈	Ø	163:0	to shoot
258-1	C	1	s͈	Ø	Ø	s	s	s	Ø	s	Ø	s͈	s	Ø	s	Ø	199:0	to wash
10-27	C	27	s	s	s	s	s	s	s	s	s	s	s	s	s	s	6:0, 88:0, 147:0, 304:0, 48:0, 284:0, 11:0, 11:2, 24:0, 27:0, 47:2, 87:0, 127:0, 137:0, 164:2, 174:0, 204:0, 210:0, 240:0, 288:2, 297:3, 317:0, 346:0, 347:2, 350:0, 355:0, 373:0	Fifty / Five / Six / Three / Twenty / animal / back / bird / breast / claw / hand / husband / man/male / meat/flesh / new / person/human being / rat / rope / salt / skin / to hide / to hunt / to plant / to stand / woods/forest
87-2	C	2	s	Ø	s	-	s	s	Ø	-	Ø	s	-	Ø	s	Ø	51:3, 238:2	smell / woman/female
148-1	C	1	s	Ø	s	s	s͈	s	Ø	Ø	Ø	s͈	s	Ø	s͈	Ø	25:0	rotten
188-1	C	1	s	s	s	s	s	s	s	s	s͈	s	s	s	s	s	94:0	to buy
195-1	C	1	s	Ø	Ø	dʑ	s	s	dʑ	s	Ø	s	s	Ø	s	Ø	102:0	to count
268-1	C	1	s	s	s	h	s	h	s	s	h	s	s	s	s	h	206:0	tongue
15-3	C	3	p͈	p͈	p͈	p	p͈	p͈	p͈	p͈	p͈	p͈	p͈	p͈	p͈	p͈	22:0, 182:0, 313:0	horn / root / to suck
141-1	C	1	p͈	Ø	Ø	p	p͈	p͈	Ø	p͈	Ø	p͈	p	Ø	p	Ø	15:0	red
210-1	C	1	p͈	Ø	Ø	p	p͈	p	Ø	p͈	p͈	p͈	p͈	Ø	p͈	p͈	131:0	bone
353-1	C	1	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	300:0	grass
377-1	C	1	pʰ	pʰ	p	p	pʰ	Ø	p	pʰ	pʰ	pʰ	Ø	p	pʰ	pʰ	330:4	knee
5-23	C	23	p	p	p	p	p	p	p	p	p	p	p	p	p	p	32:0, 64:0, 285:0, 372:0, 240:2, 376:3, 7:0, 36:0, 42:0, 54:0, 57:0, 169:0, 185:0, 204:5, 229:0, 239:4, 257:0, 292:0, 301:0, 361:1, 363:2, 375:0, 384:2	Nine / bark (of a tree) / belly / claw / dry / fire / foot / green / mouth / narrow / needle / night / rain / sea / shy, ashamed / smooth / snake / star / to spit / to swell / wind / woman/female / woods/forest
104-2	C	2	p	Ø	p	p	p	w	Ø	Ø	Ø	Ø	b	Ø	b	Ø	42:6, 54:6	shy, ashamed / smooth
117-2	C	2	p	n	Ø	p	-	p	Ø	-	Ø	Ø	-	l	p	Ø	34:4, 251:4	Seven / dirty
122-2	C	2	p	Ø	Ø	-	p	p	Ø	p	Ø	p	p	Ø	Ø	Ø	249:4, 373:4	dirty / new
180-1	C	1	p	Ø	Ø	k	Ø	p	Ø	Ø	Ø	Ø	p	Ø	Ø	Ø	70:0	straight
212-1	C	1	p	Ø	Ø	p	Ø	p	Ø	m	Ø	m	p	Ø	b	Ø	134:2	to hold
216-1	C	1	p	Ø	k	p	n	n	Ø	p	Ø	n	t	Ø	n	n	142:2	to lie down
266-1	C	1	p	Ø	-	p	p	p	Ø	-	Ø	Ø	p	Ø	-	Ø	205:2	to yawn
329-1	C	1	p	Ø	b	p	p	p	p	p	p	p	p	Ø	p	p	276:1	father
359-1	C	1	p	Ø	Ø	p	p	b	Ø	Ø	Ø	Ø	b	Ø	Ø	Ø	310:4	heavy
367-1	C	1	p	Ø	p͈	p	p͈	p͈	Ø	p͈	Ø	p͈	p͈	Ø	Ø	Ø	314:3	house
379-1	C	1	p	p	p	p	p	pʰ	Ø	p	p	p	pʰ	Ø	p	p	334:1	leaf
384-1	C	1	p	Ø	p	p	p	p͈	Ø	p	Ø	p͈	p͈	Ø	p	Ø	339:0	lightening
411-1	C	1	p	p	Ø	p	p	k	p	p	p	p	k	p	p	p	365:5	near
4-32	C	32	n	n	n	n	n	n	n	n	n	n	n	n	n	n	61:0, 61:2, 86:0, 304:2, 372:2, 35:0, 245:0, 16:3, 49:2, 51:0, 89:2, 111:2, 142:0, 150:4, 204:2, 208:0, 221:1, 224:0, 225:0, 227:2, 230:0, 238:4, 247:0, 257:2, 272:0, 284:4, 293:0, 320:0, 346:2, 353:2, 377:1, 380:2	Fifty / Four / I / One / claw / day / dry / eye / hand / man/male / many / needle / no, not / right / sharp / sky / smell / snow / thou / thunder / to eat / to lie down / to pound, beat / tree / when? / who? / wide / wife / wing / woman/female / yellow
6-12	C	12	n	n	n	-	n	n	n	n	n	n	n	n	n	n	94:2, 126:2, 126:3, 168:2, 193:5, 110:3, 182:2, 96:3, 163:2, 112:2, 154:2, 326:1	in, inside / to buy / to chew / to eat / to fall / to hear / to rub / to shoot / to sleep / to suck / to turn
133-3	C	3	n	Ø	t	n	n	n	-	ŋ	n	n	ŋ	-	n	Ø	53:2, 137:2, 167:1	smoke / to hunt / to sit
53-2	C	2	n	n	Ø	p	n	n	Ø	n	ŋ	n	n	n	n	ŋ	96:5, 264:2	dust / to chew
106-2	C	2	n	Ø	n	ɾ	n	Ø	n	-	Ø	-	n	Ø	n	Ø	155:4, 336:1	left / to rub
166-1	C	1	n	n	n	n	n	Ø	n	ŋ	n	n	n	n	Ø	n	52:0	smoke
194-1	C	1	n	Ø	n	-	ŋ	ŋ	Ø	-	Ø	ŋ	-	Ø	n	Ø	98:3	to climb
198-1	C	1	n	Ø	n	k	n	n	Ø	n	Ø	n	n	Ø	n	Ø	110:5	to eat
201-1	C	1	n	Ø	Ø	-	n	n	-	Ø	n	Ø	n	-	Ø	n	118:4	to fight
206-1	C	1	n	n	n	-	-	n	Ø	-	Ø	n	n	Ø	n	Ø	124:4	to grow
208-1	C	1	n	n	n	t	n	n	n	n	n	n	n	n	n	n	126:5	to hear
219-1	C	1	n	-	g	-	g	n	g	n	-	n	g	g	g	-	147:3	to plant
220-1	C	1	n	-	n	-	n	n	-	n	-	n	n	-	n	-	147:5	to plant
242-1	C	1	n	Ø	Ø	Ø	n	ɾ	n	Ø	Ø	Ø	ɾ	n	Ø	Ø	184:2	child
247-1	C	1	n	n	n	-	n	n	n	n	n	n	n	n	-	Ø	187:5	to think
249-1	C	1	n	Ø	-	d	n	n	-	n	d	Ø	Ø	-	n	n	188:2	to throw
252-1	C	1	n	Ø	Ø	k	n	l	Ø	Ø	Ø	n	l	Ø	Ø	Ø	191:2	to tie up, fasten
253-1	C	1	n	Ø	Ø	m	n	n	Ø	Ø	Ø	n	n	Ø	Ø	Ø	191:4	to tie up, fasten
342-1	C	1	n	Ø	n	n	ŋ	ŋ	Ø	Ø	n	ŋ	n	Ø	Ø	Ø	290:1	fog
3-43	C	43	m	m	m	m	m	m	m	m	m	m	m	m	m	m	6:4, 358:1, 110:0, 210:2, 218:4, 164:4, 274:4, 273:0, 310:0, 347:0, 347:4, 296:3, 307:0, 21:2, 27:4, 28:4, 57:4, 63:2, 65:0, 100:2, 127:2, 153:0, 161:2, 186:3, 200:2, 205:4, 214:0, 220:0, 227:0, 229:4, 256:0, 260:0, 261:0, 262:0, 264:0, 282:4, 308:2, 330:0, 353:0, 357:0, 359:0, 371:0, 375:2	Twenty / all / because / black / breast / cloud / dry / dull / dust / far / fat/grease / few / fruit / head / heart / heavy / knee / man/male / many / mosquito / mother / mountain / neck / night / person/human being / salt / snake / spider / stick/wood / to eat / to hide / to push / to sew / to swim / to wipe / to yawn / water / what? / wife / wind
36-5	C	5	m	Ø	m	-	m	m	m	m	Ø	m	m	m	m	Ø	51:2, 55:0, 96:2, 154:0, 292:3	below / foot / smell / to chew / to rub
116-2	C	2	m	Ø	ŋ	m	p	Ø	m	Ø	m	Ø	p	m	p	m	155:0, 297:2	animal / to rub
152-1	C	1	m	m	m	m	m	Ø	m	m	m	m	Ø	m	p	m	30:0	sand
218-1	C	1	m	m	m	m	m	m	m	m	m	m	-	m	m	m	147:2	to plant
274-1	C	1	m	m	m	m	m	m	g	m	Ø	m	m	m	m	Ø	208:2	tree
294-1	C	1	m	Ø	Ø	-	Ø	-	Ø	tɕ͈	Ø	m	-	Ø	tɕ͈	Ø	230:5	wing
404-1	C	1	m	Ø	m	Ø	l	m	Ø	l	Ø	l	l	Ø	Ø	Ø	362:3	name
7-19	C	19	l	l	l	l	l	l	l	l	l	l	l	l	l	l	193:2, 285:2, 300:2, 313:2, 372:4, 15:2, 49:4, 20:2, 34:1, 35:2, 48:2, 76:2, 146:2, 210:4, 214:2, 269:6, 292:2, 341:2, 355:2	Seven / Ten / Twenty / egg / fire / foot / grass / horn / long / meat/flesh / needle / red / road / sharp / skin / sky / to open, uncover / to turn / water
30-2	C	2	l	Ø	ɾ	ɾ	l	ɾ	Ø	ɾ	ɾ	l	ɾ	Ø	ɾ	ɾ	38:2, 303:2	hair / short
61-2	C	2	l	Ø	ŋ	l	l	ɾ	Ø	l	Ø	l	ɾ	l	l	Ø	230:2, 306:4	head / wing
72-2	C	2	l	Ø	-	l	k	k	Ø	p	l	k	-	Ø	p	l	82:2, 84:4	thick / thin
90-2	C	2	l	Ø	Ø	l	-	l	ɾ	l	Ø	l	l	Ø	l	Ø	5:1, 296:2	fruit / painful, sick
99-2	C	2	l	Ø	Ø	l	n	n	Ø	Ø	Ø	Ø	n	Ø	k	Ø	153:2, 235:4	to push / with
151-1	C	1	l	Ø	ɾ	l	l	ɾ	Ø	l	Ø	ɾ	l	Ø	ɾ	Ø	26:5	round
176-1	C	1	l	l	l	l	l	l	ɾ	l	l	l	l	l	l	l	64:2	star
202-1	C	1	l	Ø	l	-	l	l	Ø	Ø	Ø	Ø	-	Ø	-	Ø	122:1	to freeze
254-1	C	1	l	l	l	l	l	l	g	l	l	l	l	l	l	l	193:3	to turn
277-1	C	1	l	l	Ø	l	-	-	Ø	l	l	-	-	l	Ø	l	211:3	Two
290-1	C	1	l	Ø	p	ɾ	l	p	Ø	l	Ø	l	ɾ	Ø	ɾ	Ø	225:2	wide
315-1	C	1	l	l	l	-	l	Ø	l	l	l	l	Ø	l	l	l	269:2	egg
320-1	C	1	l	l	l	p	l	l	p	l	l	l	l	l	k	l	271:4	Eight
324-1	C	1	l	l	ɾ	-	l	m	Ø	m	Ø	l	ɾ	l	l	Ø	272:5	eye
325-1	C	1	l	Ø	Ø	l	l	-	Ø	Ø	Ø	Ø	ɾ	Ø	Ø	Ø	273:2	far
425-1	C	1	l	Ø	Ø	l	l	g	ɾ	g	Ø	-	g	ɾ	l	Ø	384:5	bark (of a tree)
21-2	C	2	k͈	k͈	k͈	k	k͈	k͈	k͈	k͈	k͈	k͈	k͈	k͈	k͈	k͈	161:0, 289:0	flower / to sew
27-2	C	2	k͈	k͈	tɕʰ	k	k͈	k͈	k͈	k͈	k͈	k͈	k͈	k͈	tɕʰ	k͈	42:2, 73:0	shy, ashamed / tail
129-2	C	2	k͈	Ø	Ø	k	dʑ	kʰ	Ø	dʑ	-	dʑ	k͈	Ø	k͈	Ø	100:0, 234:3	black / with
422-1	C	1	k͈	Ø	Ø	k	k͈	k	k͈	k͈	Ø	k͈	k͈	k͈	k͈	Ø	384:0	bark (of a tree)
418-1	C	1	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ	378:0	nose
26-7	C	7	k	ŋ	k	k	k	k	k	k	k	k	k	k	k	k	25:2, 65:2, 157:0, 164:0, 170:0, 218:0, 238:0	breast / cloud / rotten / stick/wood / to scratch / to split / woman/female
35-7	C	7	k	k	n	k	k	k	k	k	k	k	k	k	k	k	16:6, 24:3, 34:2, 63:0, 77:0, 196:0, 365:0	Seven / near / right / rope / spider / that / to vomit
13-2	C	2	k	k	k	k	k	k	k	k	k	k	k	k	k	k	212:0, 286:0	fish / walk
28-2	C	2	k	k	k	k	k	k	k	k	k	k	g	k	k	k	267:0, 310:2	ear / heavy
32-2	C	2	k	k	-	-	k	Ø	-	k	g	k	k͈	-	k	k	127:3, 330:6	knee / to hide
49-2	C	2	k	k	k	k	k	k	k	k	k	k	k	k	k͈	k	19:0, 40:2	river / shoulder
64-2	C	2	k	Ø	k	k	k	k	Ø	k	Ø	k	k͈	Ø	k	Ø	50:2, 298:0	full / small
112-2	C	2	k	Ø	Ø	k	k	k	Ø	Ø	l	tɕ͈	k	Ø	l	Ø	75:0, 262:2	all / big
143-1	C	1	k	k	tɕ	k	tɕ	k	Ø	tɕ	k	k	tɕ	tɕ	tɕ	k	20:0	road
157-1	C	1	k	Ø	Ø	n	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	k	Ø	35:3	sharp
160-1	C	1	k	k	k	-	k	k	k	k	k	k	k	k	Ø	k	40:1	shoulder
162-1	C	1	k	Ø	Ø	-	k	k	Ø	k͈	Ø	k	k͈	Ø	Ø	Ø	48:3	skin
179-1	C	1	k	Ø	k	l	l	l	Ø	k	Ø	l	l	Ø	k	Ø	68:2	stone
185-1	C	1	k	Ø	k	k	k	k	Ø	g	Ø	k	kʰ	Ø	g	Ø	82:0	thick
190-1	C	1	k	Ø	k	k	k	k	k	Ø	Ø	k	k	k	tɕʰ	Ø	97:0	to choose
203-1	C	1	k	k	tɕ	k	tɕ	k	Ø	tɕ	Ø	k	k	Ø	kʰ	Ø	124:0	to grow
221-1	C	1	k	k	k	k	k	k	-	k	-	k	k	kʰ	k	-	148:0	branch
231-1	C	1	k	Ø	k	l	Ø	k	Ø	k	Ø	k	Ø	Ø	k	Ø	157:2	to scratch
292-1	C	1	k	Ø	Ø	g	Ø	-	Ø	k	Ø	k	-	Ø	k	Ø	230:3	wing
303-1	C	1	k	k	k	k	k	k͈	k	k	Ø	k	k͈	Ø	k	k	254:0	dog
313-1	C	1	k	k	k	k	k	-	g	k	k	k	-	g	k	k	268:2	earth/soil
322-1	C	1	k	k	k͈	-	k͈	g	Ø	g	Ø	k͈	k͈	k	k͈	Ø	272:3	eye
326-1	C	1	k	Ø	tɕ	k	tɕ	k	Ø	tɕ	Ø	tɕ	tɕ	Ø	tɕ	tɕ	274:0	fat/grease
331-1	C	1	k	Ø	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	277:0	feather
351-1	C	1	k	Ø	Ø	k	Ø	Ø	Ø	Ø	Ø	Ø	t	Ø	t	Ø	298:4	full
386-1	C	1	k	Ø	tɕ	k	tɕ	tɕ	Ø	tɕ	Ø	tɕ	tɕ	tɕ	tɕ	Ø	341:0	long
409-1	C	1	k	tɕʰ	Ø	k	k	ɟ	tɕʰ	tɕʰ	tɕ	tɕʰ	ɟ	tɕ	k	tɕʰ	365:3	near
363-1	C	1	j	j	j	j	j	j	j	j	j	j	j	j	j	j	312:0	here
17-13	C	13	h	h	h	h	h	h	h	h	h	h	h	h	h	h	72:0, 244:0, 268:0, 28:0, 49:0, 120:0, 186:0, 200:0, 234:0, 352:0, 353:3, 376:1, 380:0	Nine / One / earth/soil / many / salt / sky / sun / to flow / to swim / to wipe / with / year
243-1	C	1	h	s	h	h	s	s	s	s	h	s	s	h	s	Ø	187:0	to think
265-1	C	1	h	Ø	h	h	k	h	Ø	h	Ø	Ø	h	Ø	h	Ø	205:0	to yawn
285-1	C	1	h	Ø	h	h	h	h	Ø	h	s͈	h	h	Ø	h	s͈	223:0	white
19-4	C	4	g	g	g	g	g	g	g	g	g	g	g	g	g	g	26:3, 339:3, 306:2, 312:2	head / here / lightening / round
92-2	C	2	g	g	g	k	k	Ø	Ø	g	g	-	g	Ø	g	g	27:2, 265:3	dust / salt
142-1	C	1	g	Ø	Ø	k	g	g	Ø	k	Ø	g	g	Ø	k	Ø	15:3	red
178-1	C	1	g	k͈	g	h	Ø	g	g	g	g	Ø	g	g	g	g	65:5	stick/wood
183-1	C	1	g	g	g	g	tɕ	g	g	g	g	g	g	g	g	g	80:2	there
225-1	C	1	g	Ø	Ø	k	Ø	-	Ø	Ø	Ø	Ø	-	Ø	g	Ø	152:3	to pull
288-1	C	1	g	Ø	Ø	-	g	g	k	Ø	Ø	g	-	k	Ø	Ø	224:2	who?
316-1	C	1	g	g	g	-	g	Ø	g	g	g	g	Ø	g	g	g	269:3	egg
336-1	C	1	g	Ø	k	g	k͈	k͈	k͈	k	k	k͈	k͈	Ø	k͈	Ø	282:2	few
340-1	C	1	g	g	g	k	g	g	g	g	Ø	g	g	Ø	g	g	286:2	fish
343-1	C	1	g	Ø	g	g	k	k	Ø	Ø	g	k	g	Ø	Ø	Ø	290:2	fog
397-1	C	1	g	Ø	Ø	g	g	k	Ø	k	g	g	g	Ø	g	g	357:2	mosquito
413-1	C	1	g	g	Ø	k	g	g	g	g	g	g	k	g	g	g	371:2	neck
41-10	C	10	dʑ	dʑ	dʑ	dʑ	dʑ	dʑ	dʑ	dʑ	dʑ	dʑ	dʑ	dʑ	dʑ	dʑ	28:2, 47:0, 57:2, 76:0, 84:0, 101:0, 146:0, 271:0, 296:0, 308:0	Eight / Six / Ten / fruit / heart / salt / snake / thin / to cook / to open, uncover
62-2	C	2	dʑ	Ø	dʑ	dʑ	dʑ	dʑ	dʑ	dʑ	-	dʑ	dʑ	dʑ	dʑ	-	137:3, 223:2	to hunt / white
298-1	C	1	dʑ	k	Ø	dʑ	tɕ	Ø	tɕ	Ø	k	tɕ	Ø	k	Ø	dʑ	239:0	woman/female
317-1	C	1	dʑ	dʑ	dʑ	-	dʑ	Ø	dʑ	dʑ	dʑ	dʑ	Ø	dʑ	dʑ	dʑ	269:4	egg
419-1	C	1	dʑ	Ø	Ø	dʑ	Ø	Ø	Ø	Ø	n	Ø	Ø	Ø	Ø	n	379:0	old
38-2	C	2	d	d	t	d	d	d	d	t	d	d	d	d	d	d	32:2, 350:2	back / sea
80-2	C	2	d	Ø	k͈	d	Ø	t	d	Ø	d	d	t	d	Ø	d	222:1, 260:2	dull / where?
88-2	C	2	d	Ø	d	d	d	d	Ø	d	Ø	d	d	Ø	d	Ø	54:2, 89:3	smooth / thunder
270-1	C	1	d	-	d	dʑ	d	-	t͈	d	-	d	-	t͈	d	-	206:2	tongue
306-1	C	1	d	Ø	d	t	t	Ø	Ø	d	Ø	d	Ø	d	Ø	Ø	261:2	all
349-1	C	1	d	Ø	Ø	d	Ø	Ø	Ø	Ø	Ø	Ø	tɕʰ	Ø	tɕʰ	Ø	298:2	full
34-2	C	2	b	Ø	b	Ø	b	b	Ø	b	Ø	b	b	Ø	b	b	78:2, 317:2	husband / thatch/roof
43-5	C	5	-	Ø	n	-	n	n	-	n	n	n	n	-	n	n	97:4, 104:4, 120:4, 154:5, 256:4	dry / to choose / to cut, hack / to flow / to rub
123-4	C	4	-	Ø	s	-	s	s	s	Ø	dʑ	s	s	s	s	dʑ	54:8, 84:2, 220:2, 324:0	in, inside / smooth / thin / what?
119-3	C	3	-	k͈	Ø	dʑ	-	ɟ	dʑ	-	g	-	g	k	g	g	131:1, 174:1, 251:2	bone / dirty / to stand
57-2	C	2	-	s	s	-	s	-	s͈	s	s	s	-	s͈	s	s	111:0, 334:2	leaf / to eat
63-2	C	2	-	Ø	-	-	n	n	Ø	Ø	Ø	Ø	n	Ø	n	Ø	122:2, 172:2	to freeze / to squeeze
71-2	C	2	-	Ø	k	-	k	k	k	k͈	k	Ø	k	k	k	Ø	33:2, 241:0	seed / worm (earthworm)
75-2	C	2	-	Ø	Ø	-	g	g	Ø	g	Ø	g	g	Ø	g	Ø	53:3, 292:5	foot / smoke
128-2	C	2	-	Ø	Ø	-	n	Ø	Ø	n	n	n	k	Ø	ŋ	n	84:5, 234:2	thin / with
150-1	C	1	-	Ø	-	-	s	n	Ø	Ø	Ø	s	n	Ø	n	Ø	25:4	rotten
168-1	C	1	-	Ø	Ø	Ø	dʑ	dʑ	Ø	n	Ø	dʑ	n	Ø	dʑ	Ø	53:0	smoke
169-1	C	1	-	Ø	Ø	Ø	j	-	Ø	l	Ø	j	-	Ø	j	Ø	53:5	smoke
213-1	C	1	-	Ø	Ø	-	Ø	s	Ø	k	Ø	k	s	Ø	-	Ø	134:3	to hold
215-1	C	1	-	Ø	Ø	t	n	n	Ø	Ø	Ø	Ø	-	Ø	-	Ø	141:1	to laugh
233-1	C	1	-	Ø	-	-	-	-	Ø	g	Ø	-	-	Ø	tɕ	Ø	165:1	above
238-1	C	1	-	Ø	-	t	n	s	t	t	t	t	n	t	t	t	169:4	to spit
257-1	C	1	-	ɾ	Ø	Ø	Ø	Ø	Ø	Ø	k͈	Ø	Ø	Ø	Ø	k͈	198:2	to vomit
