ID	STRUCTURE	FREQUENCY	Gyeonggi	Hwanghae	Jeju	MKorean	NChungcheong	NGyeongsang	NHamgyong	NJeolla	NPyongan	SChungcheong	SGyeongsang	SHamgyong	SJeolla	SPyongan	COGNATESETS	CONCEPTS
364-1	V	1	i	i	ɨ	ɨ	i	i	i	i	i	i	ɨ	i	i	i	312:3	here
388-1	V	1	i	ɨ	ɨ	i	Ø	Ø	ɨ	i	ɨ	Ø	Ø	i	i	ɨ	342:1	louse
394-1	V	1	i	i	Ø	a	i	i	i	Ø	i	i	Ø	i	Ø	i	353:4	many
398-1	V	1	i	Ø	Ø	i	i	i	Ø	o	u	u	u	Ø	u	u	357:3	mosquito
401-1	V	1	i	i	-	i	i	-	-	i	i	i	-	i	-	i	358:3	mother
66-3	V	3	e	i	e	e	i	e	e	i	e	i	e	e	i	Ø	187:1, 296:1, 308:1	fruit / heart / to think
74-3	V	3	e	e	a	e	e	e	i	Ø	e	i	a	e	ə	e	47:1, 146:1, 242:3	Six / to open, uncover / worm (earthworm)
39-2	V	2	e	Ø	i	e	ə	ɛ	ə	ə	ə	ə	ə	ə	e	ə	87:1, 379:1	Three / old
51-2	V	2	e	iː	Ø	ə	i	i	e	i	e	i	i	e	i	e	102:1, 239:1	to count / woman/female
145-1	V	1	e	Ø	-	-	i	ə	e	i	ə	ə	i	e	ɛ	ə	22:3	root
171-1	V	1	e	Ø	i	a	e	ɛ	Ø	i	Ø	e	ɛ	Ø	e	Ø	55:3	below
172-1	V	1	e	Ø	e	-	Ø	e	Ø	Ø	Ø	Ø	Ø	Ø	e	Ø	56:2	below
211-1	V	1	e	Ø	Ø	ə	ɛ	i	Ø	e	u	e	u	Ø	u	u	131:2	bone
269-1	V	1	e	-	e	-	e	-	e	e	-	ə	-	e	e	-	206:1	tongue
283-1	V	1	e	Ø	e	e	e	Ø	Ø	Ø	e	e	e	Ø	Ø	e	221:3	when?
318-1	V	1	e	a	a	a	e	a	a	a	a	e	a	a	a	a	271:1	Eight
344-1	V	1	e	Ø	e	e	ɛ	ɛ	Ø	Ø	i	ɛ	e	Ø	Ø	Ø	290:3	fog
345-1	V	1	e	ə	Ø	e	ə	ɛ	Ø	ə	ə	ə	e	Ø	e	ə	293:1	Four
385-1	V	1	e	Ø	ø	e	e	e	Ø	ɛ	Ø	e	e	Ø	ɛ	Ø	339:4	lightening
139-1	V	1	aː	aː	aː	a	aː	aː	aː	aː	aː	aː	aː	aː	aː	aː	6:1	person/human being
2-42	V	42	a	a	a	a	a	a	a	a	a	a	a	a	a	a	32:1, 94:1, 148:1, 168:1, 278:1, 372:1, 5:0, 49:1, 19:1, 35:1, 245:3, 344:1, 344:3, 48:1, 57:3, 65:1, 93:1, 104:1, 134:1, 164:1, 167:0, 208:1, 227:1, 229:1, 234:1, 238:1, 247:1, 262:4, 269:1, 279:1, 288:1, 290:0, 292:1, 298:1, 317:3, 327:1, 350:1, 353:1, 355:1, 375:1, 376:0, 380:1	Five / Nine / One / all / and / back / branch / breast / day / egg / fog / foot / full / husband / intestines / louse / many / meat/flesh / needle / night / painful, sick / river / sea / sharp / skin / sky / snake / stick/wood / to burn / to buy / to cut, hack / to hold / to sit / to sleep / tree / wife / wind / with / woman/female / yellow
