ID	STRUCTURE	FREQUENCY	jugankhanty	kazymkhanty	kondakhanty	kondamansi	likrisovskojekhanty	malyjjugankhanty	middlelozvamansi	nizjamkhanty	northmansi	obdorskkhanty	pelymkamansi	sherkalykhanty	synjakhanty	tavdamansi	tremjugankhanty	upperdemjankakhanty	vakhkhanty	vartovskojekhanty	vasjugankhanty	verkhnekalymskkhanty	COGNATESETS	CONCEPTS
72-2	V	2	Ø	o	o	ɔ	Ø	Ø	Ø	o	Ø	a	ai	o	u	a	o	o	oː	Ø	oː	Ø	105:1, 125:1	that / white
91-2	V	2	Ø	Ø	Ø	oɔ	Ø	Ø	a	Ø	a	Ø	a	Ø	Ø	e	Ø	Ø	Ø	Ø	Ø	Ø	33:0, 72:1	not / seed
92-2	V	2	Ø	Ø	Ø	o	Ø	Ø	ɔ	Ø	o	Ø	o	Ø	Ø	ɔ	Ø	Ø	Ø	Ø	Ø	Ø	35:1, 121:1	all / belly
93-2	V	2	Ø	Ø	Ø	ə	Ø	Ø	-	Ø	ɨ	Ø	i	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	35:3, 72:3	belly / seed
94-1	V	1	Ø	Ø	Ø	uː	Ø	Ø	u	Ø	u	Ø	u	Ø	Ø	u	Ø	Ø	Ø	Ø	Ø	Ø	1:1	bark
99-1	V	1	Ø	Ø	Ø	Ø	Ø	Ø	æ	Ø	Ø	Ø	ɔ	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	13:1	egg
101-1	V	1	Ø	Ø	Ø	oː	Ø	Ø	oɔ	Ø	ɔː	Ø	oː	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	15:1	moon
103-1	V	1	Ø	Ø	Ø	ə	Ø	Ø	ə	Ø	ə	Ø	ə	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	15:4	moon
112-1	V	1	Ø	Ø	Ø	æ	Ø	Ø	æ	Ø	a	Ø	ə	Ø	Ø	u	Ø	Ø	Ø	Ø	Ø	Ø	38:0	one
114-1	V	1	Ø	Ø	Ø	ə	Ø	Ø	-	Ø	ə	Ø	ə	Ø	Ø	ɔ	Ø	Ø	Ø	Ø	Ø	Ø	40:3	person
115-1	V	1	Ø	aː	æː	Ø	Ø	Ø	Ø	aː	Ø	Ø	Ø	aː	aː	Ø	Ø	eː	Ø	Ø	Ø	Ø	43:3	person
117-1	V	1	Ø	Ø	Ø	Ø	o	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	ɔ	a	a	45:1	rain
120-1	V	1	Ø	Ø	Ø	oɔ	Ø	Ø	oɔ	Ø	aː	Ø	ɔː	Ø	Ø	æː	Ø	Ø	Ø	Ø	Ø	Ø	54:1	root
122-1	V	1	Ø	Ø	Ø	ə	Ø	Ø	u	Ø	i	Ø	u	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	56:3	round
123-1	V	1	Ø	ɛː	æ	Ø	Ø	Ø	Ø	eː	Ø	eː	Ø	Ø	eː	Ø	Ø	Ø	Ø	Ø	Ø	Ø	58:1	round
