ID	STRUCTURE	FREQUENCY	abui	adang	blagar	kaera	kamang	klon	kui	nedebang	protoalorpantar	sawila	teiwa	wersing	westernpantar	COGNATESETS	CONCEPTS
2-29	V	29	a	a	a	a	i	-	a	a	a	a	a	a	a	242:1, 821:0, 1112:2, 1982:3, 2235:4, 1041:1, 1297:1, 93:1, 1480:1, 2224:1, 601:2, 1703:1, 3:3, 161:1, 190:3, 402:3, 801:1, 824:2, 874:2, 1050:2, 1146:2, 1157:1, 1278:1, 1492:3, 1567:2, 1765:1, 1972:0, 2264:5, 2352:1	ask (question) / bitter / dibble stick / dirty / dry / fall (from above) / fat / flower / full / gum tree/eucalyptus / knife / millet / papaya / rain / rib / sharp / shine / six / snake / sore/wound / swim / to dig / to divide / to hunt / to split / to vomit / yawn / yesterday
1-22	V	22	a	a	i	i	a	ə	a	-	a	a	a	a	a	14:3, 1335:0, 1335:2, 1523:1, 1523:5, 1612:6, 1839:1, 2340:1, 2340:3, 231:1, 231:5, 634:2, 1354:1, 1644:1, 2240:1, 2240:3, 39:3, 518:2, 887:1, 1579:1, 1737:1, 2337:7	arrow / bone / dirty / eleven / empty / father / green / long / mother / right / ten / thick / to fight / to kill / to live / to pull / village
13-11	V	11	a	u	-	i	i	-	i	i	i	i	i	i	i	1112:1, 1734:1, 1982:1, 402:1, 2267:1, 15:5, 31:7, 99:1, 528:1, 872:0, 2096:2	bone / chicken / dry / feverish / fingernail / fly / knife / lontar palm / red / six / yesterday
11-10	V	10	a	a	ə	a	a	ɑ	a	a	a	a	a	a	-	93:2, 1465:3, 2275:3, 3:1, 588:1, 645:3, 718:2, 817:0, 1173:1, 1195:1	dust/fine earth / fat / flower / marungga / mouth / night / person / spider / stab / to dance
18-8	V	8	a	u	a	o	e	-	a	a	-	a	-	a	i	177:3, 2199:4, 59:4, 169:4, 718:4, 765:3, 1195:3, 2352:3	correct / fall (from above) / flat / garden / good / night / older sibling / stab
21-7	V	7	a	a	-	a	-	e	i	e	a	a	a	e	a	694:1, 1612:1, 397:1, 528:0, 765:1, 874:3, 1628:3	bad / lontar palm / neck / older sibling / rib / to live / to play
23-7	V	7	a	ɛ	e	i	a	ə	a	a	a	a	-	i	a	694:3, 1523:7, 161:3, 482:1, 972:1, 1271:1, 1551:1	bamboo / full / neck / run / sweet / to fight / to hear
32-6	V	6	a	i	i	a	a	ɪ	u	u	a	a	a	-	i	12:1, 101:2, 231:3, 631:1, 944:1, 1129:1	father / fly (n.) / green / mother / rope / slave
53-6	V	6	a	a	-	i	o	ʊ	o	a	o	a	e	o	i	59:2, 978:2, 1156:2, 1779:4, 1924:4, 2105:0	bird / breadfruit / child / flat / sand / to walk
69-6	V	6	a	u	u	u	a	a	u	a	Ø	a	a	a	u	169:1, 179:1, 788:4, 1336:3, 1492:1, 1972:2	garden / good / oven / tendon / to divide / yawn
20-5	V	5	a	o	e	a	-	-	a	a	a	-	a	a	u	178:3, 1737:5, 35:2, 1146:1, 1197:3	bone / fire / good / snake / stab
33-5	V	5	a	i	a	a	i	ɑ	-	a	-	u	-	u	u	12:3, 242:2, 631:3, 1129:4, 1350:1	father / gum tree/eucalyptus / mother / slave / thick
36-5	V	5	a	a	e	o	Ø	a	a	i	Ø	e	a	i	-	15:1, 112:0, 190:1, 872:2, 1197:4	ash / ask (question) / feverish / red / stab
75-5	V	5	a	ɔ	o	o	o	e	-	o	Ø	Ø	o	o	a	215:0, 308:2, 319:0, 577:1, 1524:1	grasshopper / help / hit (drum) / mango / to flow
39-4	V	4	a	a	i	a	u	ə	u	a	u	u	u	e	a	31:1, 303:1, 1003:1, 2095:2	chicken / fingernail / heavy / scratch
106-4	V	4	a	aː	a	a	a	ɛ	a	a	a	a	a	a	a	440:3, 1008:1, 1575:3, 1625:1	leaf / search/hunt for / to kill / to plant 2
118-4	V	4	a	ɛ	i	o	Ø	-	-	u	Ø	Ø	-	Ø	a	518:4, 961:3, 1196:4, 2161:5	cold / long / rub / stab
176-4	V	4	a	aː	a	i	e	ə	a	a	a	a	a	-	a	1000:2, 1108:1, 1673:1, 1839:4	scratch / six / to sing / village
