ID	STRUCTURE	FREQUENCY	Beijing	Changsha	Chengdu	Guangzhou	Guixian	Hangzhou	Hefei	Jinan	Kunming	Meixian	Nanchang	Shanghai	Shexian	Taiyuan	Xiamen	COGNATESETS	CONCEPTS
45-4	C	4	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	289:0, 406:0, 776:0, 870:0	father / in the middle / short / thunder (verb)
48-4	C	4	t	t	t	t	t	d	ts	t	t	tʰ	tʰ	d	tʰ	t	t	266:0, 550:0, 645:0, 683:0	cook / first / husband / second
145-3	C	3	t	t	t	tʰ	t	d	t	t	t	tʰ	tʰ	d	t	tɕ	Ø	212:3, 466:3, 87:0	there / watery / where
212-2	C	2	t	ɕ	Ø	t	Ø	Ø	ʂ	ʂ	Ø	Ø	ɕ	d	ɕ	s	Ø	668:4, 770:3	flash (verb) / sweet potato
27-6	C	6	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	136:0, 235:0, 296:0, 3:0, 556:4, 885:3	bedbug / die / four / sour / three
236-7	C	7	r	-	n	Ø	n	-	l	r	-	k	n	ɕ	n	l	Ø	10:6, 181:7, 349:10, 424:7, 44:6, 256:7, 400:0	inside / left / nurse / on / outside / thunder (verb) / under / wife
196-3	C	3	r	n	r	m	n	-	-	ŋ	-	m	n	Ø	Ø	ŋ	n	230:2, 564:6, 759:6	doorsills / spoon / today
243-3	C	3	r	Ø	r	Ø	j	j	Ø	r	Ø	Ø	Ø	-	Ø	r	Ø	49:5, 371:1, 764:2	beggar / here / old man
42-2	C	2	r	-	r	-	-	l	-	r	-	-	-	-	-	r	-	92:1, 607:8	noodles / two
481-1	C	1	r	-	r	k	-	Ø	Ø	r	-	Ø	ʔ	ʔ	ʔ	r	Ø	816:6	sparrow
90-2	C	2	pʰ	p	pʰ	Ø	pʰ	b	Ø	pʰ	Ø	pʰ	pʰ	Ø	pʰ	pʰ	p	408:0, 661:0	cheap / spoon
264-1	C	1	pʰ	pʰ	pʰ	Ø	pʰ	pʰ	pʰ	pʰ	pʰ	Ø	pʰ	pʰ	pʰ	Ø	Ø	19:0	fat
217-13	C	13	p	p	p	p	p	p	p	p	p	pʰ	p	Ø	p	p	pʰ	10:3, 181:4, 349:7, 424:4, 44:3, 61:0, 116:4, 194:0, 231:0, 301:0, 487:0, 539:0, 885:0	and / become sick / bedbug / father / hail / inside / instead of / left / neck / nose / on / outside / salt / under
7-5	C	5	p	p	p	p	p	p	p	p	p	p	p	p	p	p	p	277:0, 383:0, 444:0, 646:5, 702:0	cabbage / eight / freeze / nurse / spinach
142-3	C	3	p	pʰ	p	Ø	p	b	Ø	p	p	Ø	pʰ	b	pʰ	Ø	Ø	193:0, 321:3, 660:0	become sick / hail / nose
113-9	C	9	n	l	n	n	l	n	l	n	n	n	l	n	l	n	l	8:0, 42:0, 89:0, 212:0, 247:0, 498:0, 500:0, 587:0, 677:0	boy / daughter / girl / husband / man / son / take / there / what kind of / where / who
226-8	C	8	n	-	n	n	n	-	-	-	-	n	Ø	-	Ø	r	n	762:2, 762:6, 434:9, 546:6, 211:7, 396:2, 499:6, 607:3	inside / left / noodles / right / supper / sweet potato / under
123-7	C	7	n	n	n	n	n	n	n	-	-	n	n	ŋ	-	ŋ	-	8:5, 468:5, 528:2, 540:2, 564:2, 733:2, 772:2	a while / and / doorsills / husband / man / right hand / today / wife / woman
33-4	C	4	n	n	n	m	n	-	-	-	-	m	n	-	-	-	m	42:2, 87:2, 382:9, 385:3	beggar / husband / man / salty / watery
55-4	C	4	n	ɲ	ɲ	n	l	n	l	ɲ	n	n̩	n̩	ɲ	n	n	l	9:0, 165:0, 170:8, 468:0	daughter / thou / wife / woman / you
66-2	C	2	n	ɲ	ɲ	Ø	l	n	z	ɲ	n	Ø	ɲ	ɲ	Ø	n	l	449:0, 711:0	bedbug / daughter / girl / mother / wife / woman
172-2	C	2	n	l	n	Ø	-	n	l	n	n	Ø	k	Ø	n	n	Ø	302:0, 795:0	here / that / what kind of / where
323-1	C	1	n	Ø	Ø	Ø	Ø	Ø	n	ŋ	Ø	Ø	Ø	Ø	Ø	Ø	j	358:2	how
385-1	C	1	n	x	x	h	x	ɕ	ʂ	x	x	h	h	ɕ	x	x	Ø	600:0	a while / one time / there
390-1	C	1	n	-	n	m	Ø	-	-	-	Ø	m	n	-	Ø	Ø	m	611:2	salt
418-1	C	1	n	-	n	Ø	n	-	Ø	-	Ø	n	n	Ø	-	-	n	661:3	cheap
421-1	C	1	n	n	n	n	n	-	Ø	-	-	Ø	n	Ø	-	-	Ø	678:2	clean
427-1	C	1	n	n	n	m	n	Ø	n	-	-	n	n	ŋ	Ø	ŋ	n	687:2	this year
428-1	C	1	n	ɲ	ɲ	n	l	Ø	l	-	n	ŋ	ɲ	ɲ	Ø	n	n	687:4	this year
84-10	C	10	m	m	m	m	m	m	m	m	m	m	m	m	m	m	b	389:0, 556:0, 265:0, 383:4, 499:3, 564:0, 595:0, 601:3, 607:0, 843:0	bedbug / doorsills / face / inside / noodles / nurse / outside / wheat
271-1	C	1	m	Ø	tʰ	-	m	-	m	m	m	s	Ø	m	tɕ	tɕʰ	k	110:0	chicken / leg / mother / son / sparrow / star
319-1	C	1	m	m	m	m	m	d	Ø	t	m	Ø	m̩	m̩	m̩	m	m	356:0	father / mother / right hand
21-13	C	13	l	l	n	l	l	l	l	l	l	l	l	l	l	l	l	10:0, 31:0, 49:0, 143:0, 144:0, 221:0, 419:0, 499:0, 602:3, 729:0, 797:0, 804:0, 870:3	cold / dirty / face / husband / inside / moon / old man / rain / six / snow / stairs / thunder (verb)
219-4	C	4	l	l	-	Ø	-	l	Ø	ɲ	Ø	l	l	Ø	l	l	Ø	3:3, 247:3, 498:3, 893:0	die / doctor / there / where
230-2	C	2	l	Ø	n	Ø	-	Ø	k	-	l	Ø	l	Ø	k	Ø	Ø	193:4, 539:6	become sick
304-1	C	1	l	l	n	l	l	l	l	l	l	l	l	l	ɕ	l	n	306:2	twenty / two / two ounces
363-1	C	1	l	l	n	l	l	l	l	l	l	l	l	-	-	l	Ø	548:0	father / mother / mouse / old man / sun / wife
396-1	C	1	l	l	n	Ø	-	l	z	l	Ø	Ø	l	l	l	l	l	630:0	inside
